bitterly	惨痛地，辛酸地	adv. 
bitterness	苦味，苦难	n. 
black	黑的	adj. 
blackboard	黑板	n. 
blacksmith	铁匠	n. 
blade	刀刃，叶片	n. 
blame	责备	v. 
blank	空白的	adj. 
blanket	毛毯	n. 
blast	阵风	n. 
blaze	火光，光亮	n. 
bleach	漂白，变白	v. 
bleed	出血，流血	v. 
blend	混合，掺混	v. 
bless	保佑，祝福	v. 
blessing	祝福	n. 
blind	瞎的	adj. 
blink	眨眼，闪烁	adj. 
block	大块，街区，障碍物	n. 
blockage	封锁	n. 
blond	金发的	adj. 
blood	血，血统	n. 
bloody	流血的，残忍的	adj. 
bloom	花	n. 
blossom	(果树的)花	n. 
blot	污迹	n. 
blouse	女衫	n. 
blow	吹，吹掉，刮风	v. 
blue	蓝色的，忧郁的	adj. 
blunder	大错	n. 
blunt	钝的，生硬的	adj. 
blush	脸红，害臊	v. 
blushy	害羞的	adj. 
board	木板，伙食，董事会	n. 
boarding	伙食	n. 
boast	夸口，以...而自豪	v. 
boat	小船，艇	n. 
body	身体，尸体，团体	n. 
bodyguard	保镖	n. 
boil	沸腾，煮沸	v. 
boiler	锅炉	n. 
boiling	沸腾的	adj. 
bold	大胆的	adj. 
boldness	胆略	n. 
bolt	螺检，插销	n. 
bomb	炸弹	n. 
bomber	轰炸机	n. 
bonafide	真诚的，无欺的	adj. 
bond	束缚，联结，债券	n. 
bonded	保税的	adj. 
bone	骨，骨骼	n. 
bonus	红利	n. 
bony	骨头的	adj. 
book	书	n. 
bookcase	书橱	n. 
booking	定货	adj. 
booklet	小册子	n. 
bookshelf	书架	n. 
bookstore	书店	n. 
boom	隆隆响，兴旺，繁荣	v. 
booming	兴旺的，繁荣的	adj. 
boost	抬高，促进	v. 
boot	靴子	n. 
booth	货摊，电话亭	n. 
border	国界，边境	n. 
bore	烦扰，使厌烦，钻孔	v. 
boring	讨厌的	adj. 
born	出生的，天生的	adj. 
borrow	借，借用	v. 
borrowings	借款	n. 
bosom	胸，胸怀	n. 
boss	上司，老板	n. 
bossy	好发号施令的	adj. 
both	双方，两	pron. adj. 
bother	打扰，麻烦	v. 
bottle	瓶子	n. 
bottle-neck	影响...的环节	n. 
bottom	底部，末尾	n. 
bottom-line	末行数字，结果	n. 
bough	大树枝	n. 
bounce	跳起	v. 
bound	缚，以...为界	v. 
boundary	界线，边界	n. 
bourgeois	资产阶级分子	n. 
bow	鞠躬，服从	v. 
bowl	碗，钵	n. 
bowling	保龄球	n. 
box	箱，盒	n. 
boxer	拳击运动员	n. 
boxing	拳击	n. 
boxing-day	节礼日	n. 
boy	男孩，小伙子	n. 
boycott	抵制	v. n. 
brace	支撑	n. 
bracket	括号	n. 
brag	吹嘘，夸口	v. 
brain	脑子，头脑，智能	n. 
brake	制动器	n. 
brake	刹车	n. 
branch	树枝，分支，分部	n. 
brand	牌子，商标	n. 
brandy	白兰地	n. 
brass	黄铜	n. 
brave	勇敢的	adj. 
bravely	勇敢地	adv. 
bravery	勇敢	n. 
brazil	巴西	n. 
brazilian	巴西的(人)	adj. n. 
breach	违反(契约)	n. 
bread	面包，生计	n. 
bread-earner	挣钱养家的人	n. 
breadth	宽度，大量	n. 
break	打破，破坏	n. 
breakage	裂口	n. 
breakdown	故障，衰竭	n. 
breakfast	早饭	n. 
breakthrough	突破	n. 
breast	乳房，胸脯	n. 
breath	呼吸，气息	n. 
breathe	呼吸	v. 
breed	繁殖，饲养	v. 
breeze	微风	n. 
bribe	贿赂	v. 
bribery	贿赂	v. 
brick	砖	n. 
bride	新娘	n. 
bridegroom	新郎	n. 
bridge	桥梁，桥牌	n. 
bridle	约束	n. 
brief	简短的	adj. 
briefing	简要情况	n. 
briefly	简单地，简短地	adv. 
bright	明亮的，鲜明的	adj. 
brighten	使发光	v. 
brightness	光辉，明亮	n. 
brilliance	辉煌，光彩	n. 
brilliant	辉煌的，杰出的	v. 
brim	边，边缘	n. 
bring	拿来，带来	v. 
brink	边缘	n. 
brisk	敏捷的，活跃的	adj. 
bristle	鬃毛	n. 
britain	不列颠，英国	n. 
british	英国的，英属的	adj. 
brittle	易碎的，脆的	adj. 
broad	宽的，辽阔的	adj. 
broadcast	广播	v. n. 
broadcasting	广播节目	n. 
broaden	加宽，扩大	v. 
brochure	产品介绍手册	n. 
broken	破碎的，毁坏了的	adj. 
broker	经纪人	n. 
bronze	青铜	n. 
brood	一窝	n. 
brook	小河，溪流	n. 
broom	扫帚	n. 
brother	兄弟，同胞	n. 
brotherhood	兄弟情谊	n. 
brother-in-law	姻兄(弟)	n. 
brow	眉毛，额	n. 
brown	褐色(的)	n. adj. 
bruise	青肿	n. 
brush	刷子，画笔	n. 
brutal	野蛮的	adj. 
brute	禽兽，畜生	n. 
bubble	气泡	n. 
bucket	水桶	n. 
bud	芽，蓓蕾	n. 
buddhism	佛教	n. 
buddhist	佛教徒	n. 
budget	预算	n. 
buffalo	水牛，野牛	n. 
buffet	冷餐	n. 
bug	臭虫，虫子	n. 
bugle	喇叭	n. 
build	建造，建设	v. 
builder	建筑工人，建设者	n. 
building	建筑物，大楼	n. 
bulb	球形物，灯泡	n. 
bulk	体积，大半	n. 
bulky	庞大的，笨重的	adj. 
bull	公牛	n. 
bullet	子弹	n. 
bulletin	公报	n. 
bullion	金块，金条	n. 
bullish	行情看涨的	adj. 
bump	碰，颠簸	v. 
bumpy	颠簸不平的	adj. 
bunch	一束	n. 
bundle	捆，包	n. v. 
burden	担子，负担	n. 
burdensome	沉重的	adj. 
bureau	局，司，办公室	n. 
bureaucracy	官僚主义	n. 
bureaucratic	官僚主义的	adj. 
burglar	夜盗，窃贼	n. 
burglary	盗窃	n. 
burial	埋葬	n. 
burn	烧，燃烧，烧伤	v. 
burner	喷灯	n. 
burnt	烧焦的，烧坏的	adj. 
burst	爆炸，破裂	v. n. 
bury	掩埋，安葬	v. 
bus	公共汽车	n. 
bush	灌木	n. 
bushel	蒲式耳(重量单位)	n. 
business	行业，买卖，商号	n. 
businesslike	事务式的	adj. 
busy	忙碌的，热闹的	adj. 
but	但是，除了	prep. 
butcher	屠夫	n. 
butchery	肉食店	n. 
butt	根端	n. 
butter	黄油	n. 
butterfly	蝴蝶	n. 
button	钮扣，按钮	n. 
buy	买，购买	v. 
buyer	购买者	n. 
buzz	嗡嗡叫	v. 
by	在...旁边，按照	prep. 
bygone	已往的，过时的	n. 
bypass	旁道，分路	n. 
by-product	副产品	n. 
c/o	(缩)请转交...	v. 
cab	出租汽车	n. 
cabbage	卷心菜	n. 
cabin	小屋，船舱	n. 
cabinet	橱柜，内阁	n. 
cable	电缆，海底电报	n. 
cafe	咖啡馆	n. 
cafeteria	自助餐厅	n. 
cage	笼子，鸟笼	n. 
cake	糕，饼	n. 
calculate	计算，估计	v. 
calculation	计算(结果)	n. 
calculus	微积分	n. 
